1	20326.7484292
2	14184.6716654
3	13618.7230895
4	10323.0460817
5	10323.0460817
6	7329.29976143
7	6832.99818517
8	6827.97941088
9	6827.97941088
10	5075.90185519
11	4462.10730381
12	4462.10730381
13	4462.10730381
14	4456.85756915
15	4456.85756915
16	4456.85756915
17	2713.19770835
18	2713.19770835
19	2682.20092101
20	2682.20092101
21	2682.20092101
22	2682.20092101
23	2682.20092101
24	2682.20092101
25	2682.17370401
26	2682.17370401
27	2528.14355088
28	2528.14355088
29	1068.10815537
30	1068.10815537
31	1068.10815537
32	1068.10815537
33	1068.10815537
34	1065.57680289
35	1065.57680289
36	1065.57680289
37	1065.57680289
38	1065.57680289
39	1053.55732356
40	1053.55732356
41	1054.37773137
42	1054.37773137
43	830.684234482
44	760.19822968
45	626.390864483
46	626.390864483
47	626.390864483
48	626.390864483
49	535.462392486
50	535.462392486
51	535.462392486
52	535.462392486
53	535.462392486
54	535.462392486
55	535.462392486
56	535.462392486
57	534.225339596
58	534.083680427
59	534.083680427
60	534.083680427
61	534.083680427
62	534.083680427
63	534.083680427
64	534.083680427
65	534.083680427
66	534.083680427
67	527.262551446
68	527.262551446
69	527.262551446
70	527.262551446
71	514.679340475
72	514.981734038
73	514.87278759
74	514.87278759
75	514.87278759
76	514.058563822
77	514.058563822
78	515.24155431
79	515.24155431
80	515.24155431
81	402.415952824
82	402.415952824
83	402.415952824
84	402.173301656
85	402.173301656
86	402.173301656
87	401.812085469
88	401.812085469
89	401.812085469
90	401.812085469
91	401.663989045
92	401.663989045
93	401.663989045
94	401.663989045
95	401.663989045
96	395.615723524
97	395.615723524
98	395.615723524
99	395.615723524
100	395.615723524
101	395.615723524
102	333.174975246
103	333.174975246
104	333.174975246
105	332.884813504
106	332.884813504
107	332.884813504
108	316.462351227
109	317.138941473
110	317.138941473
111	297.615533218
112	282.75105043
113	282.75105043
114	282.75105043
115	282.75105043
116	282.75105043
117	282.75105043
118	264.136653654
119	264.085387363
120	264.085387363
121	264.085387363
122	242.050820503
123	242.050820503
124	242.050820503
125	241.697551206
126	241.697551206
127	239.601343596
